"","time","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4","fred","raoQ","simpson"
"-7","-7",71,0.513161942061734,0.55200782467728,0.378386209839614,0.801581,0.318281493718547,0.807662819261493,0.265439505347185,0.439692413549982,0.0357959851347264,0.0628998935449806,-0.0113590028515319,-0.0222104871752392,0.328700191292404,0.66184488182439,0.985915492957746
"-6","-6",71,0.513161942061734,0.55200782467728,0.378386209839614,0.801581,0.318281493718547,0.807662819261493,0.265439505347185,0.439692413549982,0.0357959851347264,0.0628998935449806,-0.0113590028515319,-0.0222104871752392,0.328700191292404,0.66184488182439,0.985915492957746
"-5","-5",70,0.515057875624911,0.554201371710852,0.375864410706589,0.796785,0.318281493718547,0.808040939841665,0.270061709512323,0.441349283912414,0.0356977211463593,0.0634091755300608,-0.00810695908194873,-0.0224482365200056,0.325145834384078,0.665213391821407,0.985714285714284
"-4","-4",68,0.512296242904107,0.551484076385885,0.383434515321599,0.799598,0.31297088869902,0.805866313337004,0.273612279498675,0.439304641496335,0.0349824142738261,0.0694902548347506,-0.00757183632657187,-0.0177361946005981,0.325520683841126,0.664560502685948,0.985294117647057
"-3","-3",70,0.515597462429224,0.556289421112096,0.397375502203372,0.816396,0.320318646717581,0.799829677927723,0.278510991897116,0.44686552975369,0.0308521284727724,0.0802853666158058,-0.00333815296565654,-0.012808315966377,0.324250133648125,0.666096296832561,0.985714285714284
"-2","-2",67,0.516054005863628,0.558065383154035,0.39989773344717,0.806664,0.318399816530774,0.796464451673688,0.282295154311711,0.4502778779436,0.015272563602297,0.0862036002527259,-0.0095572915739601,-0.0179775684102729,0.324278493376487,0.665636111002267,0.985074626865673
"-1","-1",65,0.533327402616117,0.575835358250208,0.418575773382493,0.812064,0.376928956976486,0.796879818392328,0.282704785667058,0.461944445423743,0.0309946901102244,0.0842155950390462,-0.00514020307672012,-0.00838780474445697,0.315522218656479,0.673947353938235,0.984615384615383
"0","0",69,0.532484940660469,0.574860603656996,0.409313345835432,0.810052,0.383798437234953,0.800582215471664,0.284664172088075,0.45780552708176,0.0302655206412687,0.0768681930444051,-0.0037269306417581,-0.00682354752652285,0.318427050145784,0.671695081015748,0.98550724637681
"1","1",65,0.52308511712217,0.568014910098248,0.44689375400106,0.814356,0.398652234864439,0.788447432171041,0.296120885284049,0.455001077747774,0.0272418338543917,0.0866268095324932,0.00202439710409738,-0.00750014707421677,0.32081189839805,0.668739053884996,0.984615384615383
"2","2",54,0.536876466156747,0.582858607431095,0.472881836919037,0.82071,0.368141812828796,0.784351815065117,0.298055757001872,0.466888831645436,0.0479379575437019,0.08462301317882,0.00491348905646013,0.00263549631549796,0.316671817191366,0.670673957201066,0.98148148148148
"3","3",44,0.476102154632973,0.521404203233541,0.485535768164369,0.823052,0.210070362442501,0.782944006339483,0.300244489283452,0.419109799397862,-0.00225004412284202,0.0830485764945282,0.00569960529568268,-0.0154788619280781,0.33584027009763,0.649065190586407,0.977272727272727
"4","4",47,0.507344497645933,0.552386236214178,0.469580424196858,0.806076,0.28492480399883,0.782564297796575,0.295615303665162,0.438986894639173,-0.0036690605896962,0.0694309214924292,-0.0111526572516657,-0.00936799100326505,0.321661898308062,0.663905376124025,0.97872340425532
"5","5",44,0.506028009862541,0.552907627254672,0.489865390354536,0.810791,0.275069800516904,0.77221769609874,0.294717586863349,0.437355367610137,-0.00966437982764472,0.0644252166824858,-0.0142378837545944,-0.0158768363587698,0.321367501031638,0.663209033082718,0.977272727272727
"6","6",42,0.511841060634699,0.56021328284244,0.520291796867568,0.82465,0.27188666123566,0.771123924382907,0.293284365407351,0.444193678941819,-0.00479916986918823,0.06735895562917,-0.0128585214176578,-0.0199963376226522,0.315862879212694,0.667848141720942,0.976190476190477
