LAT,Lat,Lon,Latitude,Longitude,Habitat,Area_GEBCO,log(Area),SST,log10_SST,O2,log10_O2,Chl_mean,log10_Chl,Carbon,log10_Carbon,Nitrate,log10_Nitrate,Species richness,FE,RaoQ,FRed,FRic,FEve,FSpe
-7,"7° 0'0""N","77°40'0.11""O",7,-77.667,Playa,294954.7774,5.469755435,27.606632,1.441013,207.821107,2.31769,0.314143,-0.502872613,0.022289,-1.651909,1.385347,0.141558569,874,123,0.661844882,0.333764075,0.318281494,0.801581,0.439692414
-6,"6° 0'0""N","77°21'48.54""O",6,-77.363,Rocoso,295538.4039,5.470613923,27.516338,1.439591,209.130125,2.320417,0.380126,-0.420072424,0.02756,-1.559721,1.327072,0.122894486,884,123,0.661844882,0.33165486,0.318281494,0.801581,0.439692414
-5,"5° 0'0""N","77°23'1.86""O",5,-77.384,Playa,296032.5807,5.471339511,27.364456,1.437187,209.344554,2.320862,0.318592,-0.496765134,0.020827,-1.681373,1.371549,0.137211328,893,123,0.665213392,0.332873677,0.318281494,0.796785,0.441349284
-4,"4° 0'0""N","77°25'36.87""O",4,-77.427,Estuario-manglar,296437.1696,5.471932658,27.331436,1.436662,210.489975,2.323231,0.446084,-0.350583354,0.029761,-1.526352,1.552986,0.191167541,918,121,0.664560503,0.330088625,0.312970889,0.799598,0.439304641
-3,"3° 0'0""N","77°42'17.83""O",3,-77.705,Estuario-manglar,296752.0531,5.472393732,27.212934,1.434775,209.657462,2.32151,0.323995,-0.489461692,0.021646,-1.664622,1.777195,0.249735083,898,122,0.666096297,0.331271034,0.320318647,0.816396,0.44686553
-2,"2° 0'0""N","78°40'12.79""O",2,-78.67,Playa,296977.142,5.472723023,26.684849,1.426265,207.358636,2.316722,0.243092,-0.614229333,0.013669,-1.864263,1.996809,0.300336525,809,121,0.665636111,0.330728603,0.318399817,0.806664,0.450277878
-1,"1° 0'0""N","79°32'34.36""O",1,-79.543,Playa,297112.3697,5.472920733,25.311224,1.403313,211.982602,2.3263,0.442475,-0.354111262,0.027819,-1.555658,2.223919,0.347118965,739,117,0.673947354,0.329016971,0.376928957,0.812064,0.461944445
0,"0° 0'0.00""","80° 6'40.88""O",0,-80.111,Playa,297157.6996,5.472986988,24.886229,1.395959,208.250211,2.318585,0.222263,-0.653132828,0.012296,-1.910236,2.514666,0.40048031,768,120,0.671695081,0.323766231,0.383798437,0.810052,0.457805527
1,"1° 0'0""S","80°51'48.67""O",-1,-80.864,Rocoso,297113.119,5.472921828,25.354677,1.404058,209.121787,2.320399,0.311426,-0.506645132,0.018961,-1.722139,2.85081,0.454968274,736,117,0.668739054,0.327145658,0.398652235,0.814356,0.455001078
2,2° 0'0''S,"80°45'11.19""O",-2,-80.753,Rocoso,296978.6399,5.472725214,22.925287,1.360315,212.400843,2.327156,0.244402,-0.611895244,0.013906,-1.856798,3.331096,0.522587149,615,113,0.670673957,0.342199371,0.368141813,0.82071,0.466888832
3,3° 0'0''S,"79°52'41.83""O",-3,-79.878,Fangoso,296754.3,5.472397021,22.368547,1.349638,214.231926,2.330884,0.309599,-0.509200451,0.017998,-1.744776,3.914785,0.592707916,487,104,0.649065191,0.345437624,0.210070362,0.823052,0.419109799
4,4° 0'0''S,"80°59'57.64""O",-4,-80.999,Playa,296440.1638,5.471937045,22.579144,1.353707,217.957141,2.338371,0.268605,-0.570885907,0.014452,-1.840072,4.620346,0.664674499,464,110,0.663905376,0.337694354,0.284924804,0.806076,0.438986895
5,5° 0'0''S,"81° 4'19.11""O",-5,-81.072,Casas-Playa,296036.3222,5.471345,21.624395,1.334944,220.829373,2.344057,0.52902,-0.276527909,0.025484,-1.593732,5.3483,0.72821576,421,112,0.663209033,0.330834982,0.275069801,0.810791,0.437355368
6,6° 0'0''S,"81° 8'45.93""O",-6,-81.146,Playa,295542.8913,5.470620518,23.121508,1.364016,219.432299,2.341301,0.261066,-0.583249685,0.013661,-1.864518,6.21519,0.79345441,351,108,0.667848142,0.321273396,0.271886661,0.82465,0.444193679
7,7° 0'0''S,"79°49'12.34""O",-7,-79.82,Playa,294960.0095,5.469763139,19.973743,1.300459,217.415276,2.33729,0.741542,-0.129864246,0.032005,-1.494782,7.064065,0.849054687,317,105,0.669704197,0.315586113,0.271886661,0.828373,0.444929293
